"REF_DATE","GEO","DGUID","Business characteristics","Use of artificial intelligence (AI) by businesses or organizations in producing goods or delivering services over the last 12 months","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025","Canada","2021A000011124","North American Industry Classification System (NAICS), all industries","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082146","1.1.1","12.2","A","","","1"
"2025","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082366","1.2.1","1.8","A","","","1"
"2025","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082586","1.3.1","5.6","A","","","1"
"2025","Canada","2021A000011124","Construction [23]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082806","1.4.1","3.6","A","","","1"
"2025","Canada","2021A000011124","Manufacturing [31-33]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671083026","1.5.1","13.1","B","","","1"
"2025","Canada","2021A000011124","Wholesale trade [41]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671083246","1.6.1","10.6","B","","","1"
"2025","Canada","2021A000011124","Retail trade [44-45]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671083426","1.7.1","6.6","A","","","1"
"2025","Canada","2021A000011124","Transportation and warehousing [48-49]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671083446","1.8.1","1.8","A","","","1"
"2025","Canada","2021A000011124","Information and cultural industries [51]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671083466","1.9.1","35.6","C","","","1"
"2025","Canada","2021A000011124","Finance and insurance [52]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082166","1.10.1","30.6","B","","","1"
"2025","Canada","2021A000011124","Real estate and rental and leasing [53]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082186","1.11.1","11.8","B","","","1"
"2025","Canada","2021A000011124","Professional, scientific and technical services [54]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082206","1.12.1","31.7","B","","","1"
"2025","Canada","2021A000011124","Administrative and support, waste management and remediation services [56]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082226","1.13.1","9.8","A","","","1"
"2025","Canada","2021A000011124","Health care and social assistance [62]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082246","1.14.1","17.4","B","","","1"
"2025","Canada","2021A000011124","Arts, entertainment and recreation [71]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082266","1.15.1","14.0","B","","","1"
"2025","Canada","2021A000011124","Accommodation and food services [72]","Yes, business used AI for producing goods or delivering services over the last 12 months","Percent","239","units","0","v1671082286","1.16.1","1.5","A","","","1"
